,SMILES,%F,logK(%F),MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule,Category
1105,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,14.0,-0.7883704155653297,437.52900000000017,8,2,3.1390400000000005,1,0
1106,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,26.0,-0.4542583717601582,325.496,2,1,5.341420000000006,0,0
1107,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,97.0,1.50965048,323.4180000000001,4,2,1.6298199999999994,1,1
1108,Cc1ccc(S(=O)(=O)Oc2ccc(O)c(S(=O)(=O)O)c2)cc1,60.0,0.1760912590556812,344.36600000000004,6,2,1.71502,1,0
1109,Cc1ccc2[nH]c(=N)nc(O)c2c1Sc1ccncc1,95.0,1.2787536009528289,284.34400000000005,5,3,2.60259,1,1
1110,Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,7.0,-1.123384909,278.355,3,0,3.952820000000002,1,0
1111,Cc1ccc2c(c1)c1c3n2CCNC3CCC1,20.0,-0.6020599913279624,226.32299999999995,2,1,2.930320000000001,1,0
1112,Cc1cccc(C)c1N=C(O)C(C)N,89.0,0.9079973214866878,192.262,2,2,2.23864,1,1
1113,Cc1cccc(C)c1N=C(O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,40.0,-0.1760912590556812,491.6260000000002,3,1,6.399540000000007,0,0
1114,Cc1cccc(C)c1N=C(O)c1cc(S(N)(=O)=O)c(Cl)cc1O,73.0,0.4319590959614686,354.81500000000005,4,3,2.94614,1,0
1115,Cc1cccc(C)c1NC(=O)C(C)N,89.0,0.907997321,192.262,2,2,1.58914,1,1
1116,Cc1cccc(C)c1NC(=O)C1CCCCN1C,55.0,0.087150176,246.354,2,1,2.7262400000000007,1,0
1117,Cc1cccc(C)c1NC(=O)NCCCNC(C)C,73.0,0.431959096,263.385,2,3,2.813040000000001,1,0
1118,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,70.0,0.367976785,354.81500000000005,4,3,2.5621400000000008,1,0
1119,Cc1cccc(C)c1NC(O)=NCCCNC(C)C,73.0,0.4319590959614686,263.385,2,3,3.017440000000001,1,0
1120,Cc1cccc(C)c1OCC(C)N,87.0,0.8255759,179.26299999999998,2,1,2.02944,1,1
1121,Cc1cccc(N2CC(CO)OC2=O)c1,56.0,0.1047353505200129,207.229,3,1,1.31252,1,0
1122,Cc1cccc(N=c2cc[nH]cc2S(=O)(=O)NC(O)=NC(C)C)c1,80.0,0.6020599913279624,348.4280000000001,4,3,2.15622,1,1
1123,Cc1cccc(Nc2ccccc2C(=O)O)c1C,90.0,0.954242509,241.29,2,2,3.7452400000000017,1,1
1124,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,91.0,1.004798883,348.4280000000001,5,3,2.52992,1,1
1125,Cc1cccc(OCC(O)CNC(C)C)c1,90.0,0.954242509,223.316,3,2,1.7327199999999998,1,1
1126,Cc1cccc2c1N=C(O)c1cccnc1N2C1CC1,93.0,1.1233849085396783,265.31600000000003,3,1,3.640220000000002,1,1
1127,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,56.0,0.1047353505200129,448.9500000000001,3,2,5.683140000000005,0,0
1128,Cc1ccccc1C(OCCN(C)C)c1ccccc1,90.0,0.954242509,269.388,2,0,3.662620000000003,1,1
1129,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,65.0,0.268845312,365.8420000000001,4,2,2.714120000000001,1,0
1130,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,81.0,0.629731418,264.31,5,2,1.16802,1,1
1131,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,93.0,1.123384909,266.30400000000003,4,1,2.6512200000000004,1,1
1132,Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C,90.0,0.954242509,375.5590000000001,4,1,5.044840000000004,0,1
